Upper,Lower,X,Y,Is Missing
0.335,0.172,1,0.26007,False
0.356,0.189,2,0.27891,False
0.409,0.242,3,0.32969,False
0.419,0.25,4,0.33877,False
0.367,0.198,5,0.2881,False
0.275,0.126,6,0.20827,False
0.495,0.319,7,0.40889,False
0.463,0.286,8,0.37757,False
0.473,0.296,9,0.38738,False
0.41,0.232,10,0.32587,False
0.381,0.207,11,0.29932,False
0.249,0.112,12,0.1884,False
0.309,0.157,13,0.23968,False
0.266,0.125,14,0.20278,False
0.302,0.145,15,0.23101,False
0.414,0.244,16,0.33315,False
0.384,0.217,17,0.30547,False
0.322,0.16,18,0.24776,False
0.674,0.538,19,0.6043,False
0.632,0.493,20,0.56172,False
0.585,0.445,21,0.51458,False
0.148,0.064,22,0.11149,False
0.512,0.374,23,0.44385,False
0.358,0.191,24,0.28063,False
0.347,0.181,25,0.27024,False
0.424,0.247,26,0.33992,False
0.569,0.402,27,0.48567,False
0.569,0.402,28,0.48567,False
0.569,0.402,29,0.48567,False
0.274,0.14,30,0.21293,False
0.27,0.137,31,0.20943,False
0.345,0.197,32,0.27578,False
0.498,0.333,33,0.41713,False
0.507,0.342,34,0.42614,False
0.4,0.255,35,0.33036,False
0.487,0.337,36,0.41363,False
0.456,0.306,37,0.3829,False
0.613,0.458,38,0.53497,False
0.538,0.383,39,0.46123,False
0.286,0.158,40,0.22718,False
0.52,0.356,41,0.43935,False
0.52,0.357,42,0.43967,False
0.458,0.298,43,0.3807,False
0.375,0.225,44,0.30416,False
0.364,0.215,45,0.29406,False
0.381,0.23,46,0.30965,False
0.244,0.118,47,0.1875,False
0.387,0.234,48,0.31449,False
